,Target RPM: 225,,,,,,,,,,,,,,,,
Test Values of kp,,,,,,,,Test Values of ki for kp = 10,,,,,,Test Values of kp and ki,,,
kp = 12,Average:,kp = 10,Average:,kp = 8,Average:,kp = 5,Average:,ki = 20,Average:,ki = 15,Average:,ki = 10,Average:,kp = 8; ki = 15,Average:,kp = 5; ki = 20,Average:
-207.36,,-204.28,,-200.85,,-187.51,,-221.52,,-227.58,,-229.3,,-224.08,,-227.29,
-207.53,,-204.66,,-200.16,,-187.69,,-222.57,,-226.18,,-228.69,,-223.49,,-226.99,
-207.18,,-204.93,,-200.75,,-187.53,,-224.37,,-225.67,,-225.96,,-224.84,,,
-208.67,,-204.8,,-200.81,,-188.44,,-224.97,,-224.5,,-224.42,,-227.01,,,
-211.14,,-205.96,,-200.38,,,,-225.34,,-221.93,,-222.96,,-226.75,,,
-210.78,,-206.35,,-201.17,,,,-226.6,,-221.58,,-221.27,,-224.68,,,
-209.12,,-205.33,,-201.2,,,,-228.02,,-224.09,,-222.35,,-224.02,,,
-208.62,,-205.28,,-200.47,,,,-226.87,,-226.03,,-226.36,,-223.53,,,
-207.57,,-205.21,,-200.91,,,,-224.09,,-226,,-230.07,,-222.36,,,
-206.6,,-204.03,,-200.82,,,,-222.82,,-225.39,,-230.2,,-222.97,,,
-207.88,,-204.69,,-200.26,,,,-222.33,,-225.61,,-227.84,,-225.5,,,
-209.24,,-205.8,,-200.91,,,,-222.11,,-226.37,,-226.35,,-227.99,,,
-209.16,,-205.14,,-200.88,,,,-224.11,,-224.82,,-225.65,,-227.94,,,
-209.69,,-205.36,,-200.33,,,,-227.8,,,,-223.22,,-225.91,,,
-209.33,,-206.86,,-201.04,,,,-230.29,,,,-221.11,,-225.08,,,
-207.2,,-206.64,,-201.06,,,,-229.41,,,,-222.6,,-224.12,,,
-206.7,,-205.51,,-200.11,,,,-226.59,,,,-224.9,,-222.17,,,
-208.86,,-205.8,,-200.29,,,,-224.97,,,,-225.97,,-222.17,,,
-209.93,,-205.22,,-200.55,,,,-223.23,,,,-226.31,,-224.69,,,
-209.46,,-204.1,,-200.22,,,,-220.93,,,,-226.92,,-227.37,,,
-209.87,,-204.78,,-200.98,,,,-221.62,,,,-227.49,,-227.67,,,
-209.11,,-205.42,,-201.48,,,,-225.83,,,,-225.77,,-226.12,,,
-207.06,,-205.36,,-200.76,,,,-230,,,,-223.34,,-225.67,,,
-206.94,,-206.17,,-201.04,,,,-230.48,,,,-222.88,,-224.76,,,
-207.91,,-206.22,,-201.14,,,,-228.25,,,,-222.79,,-222.46,,,
-208.07,,-205.05,,-200.16,,,,-226.83,,,,-222.42,,-222.12,,,
-209.51,,-204.88,,-200.32,,,,-226.1,,,,-223.94,,-224.3,,,
-211.49,,-204.96,,-200.64,,,,-223.75,,,,-227.03,,-225.73,,,
-210.56,,-204.22,,-200.21,,,,-221.39,,,,-229.27,,-225.54,,,
-208.63,,-205.06,,-200.91,,,,-221.97,,,,-228.43,,-225.3,,,
